system,pair,peak_r_nm,peak_g
L1P1,Li-N4(Pyr+),0.6,8.6886
L1P1,Li-Li,0.54,17.2781
L1P1,N(FSI)-N(FSI),0.57,6.7736
L1P1,N4(Pyr+)-N(FSI),0.47,10.874
L1P2,Li-N4(Pyr+),0.59,11.4378
L1P2,Li-Li,0.53,18.661
L1P2,N(FSI)-N(FSI),0.72,7.8862
L1P2,N4(Pyr+)-N(FSI),0.47,15.1144
L2P1,Li-N4(Pyr+),0.59,7.3198
L2P1,Li-Li,0.55,14.4344
L2P1,N(FSI)-N(FSI),0.55,8.7687
L2P1,N4(Pyr+)-N(FSI),0.47,10.0465
L3P1,Li-N4(Pyr+),0.58,6.3642
L3P1,Li-Li,0.53,11.2357
L3P1,N(FSI)-N(FSI),0.55,8.0454
L3P1,N4(Pyr+)-N(FSI),0.65,9.0241
L1P3,Li-N4(Pyr+),0.62,10.5201
L1P3,Li-Li,0.5,25.1761
L1P3,N(FSI)-N(FSI),0.72,6.9744
L1P3,N4(Pyr+)-N(FSI),0.46,13.7087
