system,pair,selection_atom,rdf_peak_r_nm,first_minimum_r_nm,coordination_number,trajectory_length_ps
L1P1,Li-O(FSI),OBT,0.22,0.33,4.297,50
L1P1,Li-N(FSI),NBT,0.38,0.55,3.243,50
L1P2,Li-O(FSI),OBT,0.23,0.33,4.479,50
L1P2,Li-N(FSI),NBT,0.37,0.57,3.199,50
L2P1,Li-O(FSI),OBT,0.22,0.32,4.183,50
L2P1,Li-N(FSI),NBT,0.38,0.56,3.559,50
L3P1,Li-O(FSI),OBT,0.22,0.32,4.124,50
L3P1,Li-N(FSI),NBT,0.38,0.57,3.558,50
L1P3,Li-O(FSI),OBT,0.23,0.33,4.429,50
L1P3,Li-N(FSI),NBT,0.37,0.58,3.219,50
L2P2,Li-O(FSI),OBT,0.22,0.33,4.295,50
L2P2,Li-N(FSI),NBT,0.37,0.56,3.337,50
L3P2,Li-O(FSI),OBT,0.22,0.32,4.101,50
L3P2,Li-N(FSI),NBT,0.37,0.55,3.23,50
