record_id,chain_id,system_id,protocol_version,stage,segment_no,mode,parent_record_id,input_sha256,checkpoint_in_sha256,environment_id,start_at,end_at,start_step,target_step,last_step,exit_code,termination_reason,tech_status,physics_status,artifact_path
pilot_L1P1x2_rho1400_v6:nvt:001,pilot_L1P1x2_rho1400_v6,L1P1x2,eq-screen-v2,nvt,1,START,,7fd24cae4421f59d016cefbb769b93b2037729a7fc55b5949672c0049198f84a,,local_mac_20260806,2026-08-07T00:59:01+09:00,2026-08-07T01:00:45+09:00,0,100000,100000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration
pilot_L1P1x2_rho1400_v6:npt:001,pilot_L1P1x2_rho1400_v6,L1P1x2,eq-screen-v2,npt,1,START,pilot_L1P1x2_rho1400_v6:nvt:001,7fd24cae4421f59d016cefbb769b93b2037729a7fc55b5949672c0049198f84a,,local_mac_20260806,2026-08-07T01:00:45+09:00,2026-08-07T01:21:11+09:00,0,1000000,1000000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001/base_snapshot
pilot_L1P1x2_rho1400_v6:npt:002,pilot_L1P1x2_rho1400_v6,L1P1x2,npt-extension-v1,npt,2,EXTEND,pilot_L1P1x2_rho1400_v6:npt:001,28bb9cc7a180cb34d5636fb9ee390136bdb91c1a1ff7fe1a5c0f3f260c18896e,cda7b99e9990bb9e15a1b59dfa12fb4f99c195bdcce537bf8f79077e07fcbe8e,local_mac_20260806,2026-08-07T02:59:50+09:00,2026-08-07T03:38:08+09:00,1000000,2000000,2000000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/pilot_L1P1x2_rho1400_v6/equilibration/extensions/npt_ext001
replica_L1P1x2_rho1400_R1_exec_20260807:nvt:001,replica_L1P1x2_rho1400_R1_exec_20260807,L1P1x2,eq-screen-v2,nvt,1,START,,e6b98582f7842d0b90c92abee95fb7483e470e3e9e23eea2fc41869ccb36301e,,local_mac_20260806,2026-08-07T04:00:41+09:00,2026-08-07T04:02:12+09:00,0,100000,100000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration
replica_L1P1x2_rho1400_R1_exec_20260807:npt:001,replica_L1P1x2_rho1400_R1_exec_20260807,L1P1x2,eq-screen-v2,npt,1,START,replica_L1P1x2_rho1400_R1_exec_20260807:nvt:001,e6b98582f7842d0b90c92abee95fb7483e470e3e9e23eea2fc41869ccb36301e,,local_mac_20260806,2026-08-07T04:02:13+09:00,2026-08-07T04:19:58+09:00,0,1000000,1000000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/replica_L1P1x2_rho1400_R1_exec_20260807/equilibration
replica_L1P1x2_rho1400_R2_exec_20260807:nvt:001,replica_L1P1x2_rho1400_R2_exec_20260807,L1P1x2,eq-screen-v2,nvt,1,START,,b55ed0091bab9ebee465223d402804ce895733a67b9b995904c7812cecc2170b,,local_mac_20260806,2026-08-07T04:21:28+09:00,2026-08-07T04:23:03+09:00,0,100000,100000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration
replica_L1P1x2_rho1400_R2_exec_20260807:npt:001,replica_L1P1x2_rho1400_R2_exec_20260807,L1P1x2,eq-screen-v2,npt,1,START,replica_L1P1x2_rho1400_R2_exec_20260807:nvt:001,b55ed0091bab9ebee465223d402804ce895733a67b9b995904c7812cecc2170b,,local_mac_20260806,2026-08-07T04:23:03+09:00,2026-08-07T04:42:38+09:00,0,1000000,1000000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/replica_L1P1x2_rho1400_R2_exec_20260807/equilibration
replica_L1P1x2_rho1400_R3_exec_20260807:nvt:001,replica_L1P1x2_rho1400_R3_exec_20260807,L1P1x2,eq-screen-v2,nvt,1,START,,b883443c975b60036a5b328819652b2b47f6fef1138c269ff1e6f5200e27c588,,local_mac_20260806,2026-08-07T04:43:29+09:00,2026-08-07T04:45:08+09:00,0,100000,100000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/replica_L1P1x2_rho1400_R3_exec_20260807/equilibration
replica_L1P1x2_rho1400_R3_exec_20260807:npt:001,replica_L1P1x2_rho1400_R3_exec_20260807,L1P1x2,eq-screen-v2,npt,1,START,replica_L1P1x2_rho1400_R3_exec_20260807:nvt:001,b883443c975b60036a5b328819652b2b47f6fef1138c269ff1e6f5200e27c588,,local_mac_20260806,2026-08-07T04:45:08+09:00,2026-08-07T05:04:55+09:00,0,1000000,1000000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/replica_L1P1x2_rho1400_R3_exec_20260807/equilibration
screen_L1P1x2_rho1000_20260807:nvt:001,screen_L1P1x2_rho1000_20260807,L1P1x2,eq-screen-v2,nvt,1,START,,248ce82acebe3638d2503c0b2d2aa3454cf1ea8da70cbd6d22ebefb112f9f7a9,,local_mac_20260806,2026-08-07T00:07:08+09:00,2026-08-07T00:08:50+09:00,0,100000,100000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/screen_L1P1x2_rho1000_20260807/equilibration
screen_L1P1x2_rho1000_20260807:npt:001,screen_L1P1x2_rho1000_20260807,L1P1x2,eq-screen-v2,npt,1,START,screen_L1P1x2_rho1000_20260807:nvt:001,248ce82acebe3638d2503c0b2d2aa3454cf1ea8da70cbd6d22ebefb112f9f7a9,,local_mac_20260806,2026-08-07T00:08:50+09:00,2026-08-07T00:33:16+09:00,0,1000000,1000000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/screen_L1P1x2_rho1000_20260807/equilibration/extensions/npt_ext001/base_snapshot
screen_L1P1x2_rho1000_20260807:npt:002,screen_L1P1x2_rho1000_20260807,L1P1x2,npt-extension-v1,npt,2,EXTEND,screen_L1P1x2_rho1000_20260807:npt:001,2db0c5586340f7330da85694ef45275c0cd93579e6ea98a8f0d7a364e15eb8c1,380dd0ff68b0cb547aadb759e58dcef2d756397ecb6d599d1d60fde3785e6d99,local_mac_20260806,2026-08-07T01:43:37+09:00,2026-08-07T02:21:13+09:00,1000000,2000000,2000000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/screen_L1P1x2_rho1000_20260807/equilibration/extensions/npt_ext001
screen_L1P1x2_rho1200_clean_20260807:nvt:001,screen_L1P1x2_rho1200_clean_20260807,L1P1x2,eq-screen-v2,nvt,1,START,,9c8661d016290e3b5b6af4f7a3e90062cb34d1e625a827280cfedbdfc0b1780a,,local_mac_20260806,2026-08-07T01:22:26+09:00,2026-08-07T01:23:54+09:00,0,100000,100000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/screen_L1P1x2_rho1200_clean_20260807/equilibration
screen_L1P1x2_rho1200_clean_20260807:npt:001,screen_L1P1x2_rho1200_clean_20260807,L1P1x2,eq-screen-v2,npt,1,START,screen_L1P1x2_rho1200_clean_20260807:nvt:001,9c8661d016290e3b5b6af4f7a3e90062cb34d1e625a827280cfedbdfc0b1780a,,local_mac_20260806,2026-08-07T01:23:54+09:00,2026-08-07T01:42:26+09:00,0,1000000,1000000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/screen_L1P1x2_rho1200_clean_20260807/equilibration/extensions/npt_ext001/base_snapshot
screen_L1P1x2_rho1200_clean_20260807:npt:002,screen_L1P1x2_rho1200_clean_20260807,L1P1x2,npt-extension-v1,npt,2,EXTEND,screen_L1P1x2_rho1200_clean_20260807:npt:001,5174883d7be526eb09dcff3b22b57078a71ed59c73300103d66126616d9843e8,280cb0975539f545aeb08136dd997ce190a8ee3d51fd6730e39de87294a1289c,local_mac_20260806,2026-08-07T02:22:14+09:00,2026-08-07T02:59:33+09:00,1000000,2000000,2000000,0,COMPLETED,PASS_COMPLETE,EXPLORATORY_ONLY,04_Runs/screen_L1P1x2_rho1200_clean_20260807/equilibration/extensions/npt_ext001
