criterion_id,metric,stage,analysis_window,lower_limit,upper_limit,trend_rule,approval_status
TECH001,grompp_warning_count,nvt_npt,full_grompp_log,0,0,technical_prerequisite_exception_if_nonzero,PROVISIONAL_EXPLORATORY
TECH002,fatal_error_count,nvt_npt,full_runtime_log,0,0,technical_prerequisite_exception_if_nonzero,PROVISIONAL_EXPLORATORY
TECH003,nan_marker_count,nvt_npt,full_runtime_log,0,0,technical_prerequisite_exception_if_nonzero,PROVISIONAL_EXPLORATORY
TECH004,lincs_warning_count,nvt_npt,full_runtime_log,0,0,technical_prerequisite_exception_if_nonzero,PROVISIONAL_EXPLORATORY
TECH005,segmentation_fault_count,nvt_npt,full_runtime_log,0,0,technical_prerequisite_exception_if_nonzero,PROVISIONAL_EXPLORATORY
TECH006,stage_duration,nvt_npt,full_energy_range,requested_ps,,technical_prerequisite_duration_must_reach_request,PROVISIONAL_EXPLORATORY
SCR001,nvt_min_box_over_2rlist,nvt,all_frames,1.10,,fail_if_le_1.0_extend_if_gt_1.0_and_lt_1.10_pass_requires_ge_1.10,PROVISIONAL_EXPLORATORY
SCR002,npt_min_box_over_2rlist,npt,all_frames,1.10,,fail_if_le_1.0_extend_if_gt_1.0_and_lt_1.10_pass_requires_ge_1.10,PROVISIONAL_EXPLORATORY
SCR003,nvt_temperature_mean_K,nvt,last_50_ps,293,303,fail_if_outside_range,PROVISIONAL_EXPLORATORY
SCR004,npt_temperature_mean_K,npt,last_500_ps,293,303,fail_if_outside_range,PROVISIONAL_EXPLORATORY
SCR005,max_adjacent_volume_jump_percent,npt,all_adjacent_energy_frames,0,5,fail_if_gt_5_percent,PROVISIONAL_EXPLORATORY
SCR006,density_slope_percent_per_ns,npt,last_500_ps_five_100_ps_block_means,0,1,extend_if_gt_1_percent_per_ns,PROVISIONAL_EXPLORATORY
SCR007,density_last_two_block_diff_percent,npt,last_two_100_ps_blocks,0,1,symmetric_percent_difference_extend_if_gt_1,PROVISIONAL_EXPLORATORY
SCR008,density_max_adjacent_block_diff_percent,npt,five_100_ps_blocks,0,2,symmetric_percent_difference_extend_if_gt_2,PROVISIONAL_EXPLORATORY
SCR009,nvt_temperature_slope_K_per_ns,nvt,last_50_ps,-2,2,extend_if_absolute_slope_gt_2,PROVISIONAL_EXPLORATORY
SCR010,nvt_last_two_temperature_block_diff_K,nvt,last_two_10_ps_blocks,0,3,absolute_difference_extend_if_gt_3,PROVISIONAL_EXPLORATORY
SCR011,npt_temperature_slope_K_per_ns,npt,last_500_ps,-2,2,extend_if_absolute_slope_gt_2,PROVISIONAL_EXPLORATORY
OBS001,density_first_vs_second_250ps_diff_percent,npt,last_500_ps_two_250_ps_halves,,,reported_only_not_used_in_runner_verdict,PROVISIONAL_EXPLORATORY
OBS002,volume_statistics,npt,last_500_ps_and_five_100_ps_blocks,,,reported_only_except_SCR005_jump_gate,PROVISIONAL_EXPLORATORY
OBS003,pressure_statistics,npt,last_500_ps_and_five_100_ps_blocks,,,reported_only_not_used_in_runner_verdict,PROVISIONAL_EXPLORATORY
OBS004,potential_energy_statistics,npt,last_500_ps,,,reported_only_not_used_in_runner_verdict,PROVISIONAL_EXPLORATORY
OBS005,density_mean,npt,last_500_ps,,,reported_only_plateau_value_not_equilibrium_proof,PROVISIONAL_EXPLORATORY
XSC001,plateau_spread_percent,three_density_screen,three_last_500_ps_density_means,0,2,same_basin_candidate_if_le_2_incomplete_if_gt_2_and_le_5_not_converged_if_gt_5,PROVISIONAL_EXPLORATORY
XSC002,any_chain_hard_fail,three_density_screen,three_chain_hard_fail_reasons,0,0,cross_start_assessment_SCREEN_FAIL_PRESENT_if_nonzero,PROVISIONAL_EXPLORATORY
DEC001,screen_hard_fail_reason_count,npt,all_provisional_hard_fail_gates,0,0,composite_count_zero_required_to_avoid_SCREEN_FAIL,PROVISIONAL_EXPLORATORY
DEC002,screen_verdict,npt,last_500_ps_plus_full_stage_hard_fail_gates,,,composite_SCREEN_FAIL_SCREEN_EXTEND_or_SCREEN_STATIONARITY_PASS,PROVISIONAL_EXPLORATORY
